image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
30,1深圳市南山区深圳野生动物园_M373618_1.jpg,Man with large snake,Python regius,paved path; plants; statue,holding snake; standing; looking at camera,[],Python regius,holding snake,[],"[{""scientific_name"": ""Python regius"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","[{""activity"": ""holding snake"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Man with large snake"",
      ""visible_species_in_image"": [
        ""Python regius""
      ],
      ""landscape_elements"": [
        ""paved path"",
        ""plants"",
        ""statue""
      ],
      ""human_activities_in_image"": [
        ""holding snake"",
        ""standing"",
        ""looking at camera""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Python regius"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""holding snake"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
31,1深圳市南山区深圳野生动物园_Mandy_ZR_2.jpg,Family at fountain,[],fountain; paved path; trees; sky,standing; taking photos,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Family at fountain"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""fountain"",
        ""paved path"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""taking photos""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
32,1深圳市南山区深圳野生动物园__TX86_1.jpg,zebras and visitors,Equus quagga,fence; enclosure; trees; pathway,watching animals; standing; observing,[],Equus quagga,observing animals,[],"[{""scientific_name"": ""Equus quagga"", ""count_estimate"": ""3"", ""confidence"": 0.98}]","[{""activity"": ""observing animals"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""zebras and visitors"",
      ""visible_species_in_image"": [
        ""Equus quagga""
      ],
      ""landscape_elements"": [
        ""fence"",
        ""enclosure"",
        ""trees"",
        ""pathway""
      ],
      ""human_activities_in_image"": [
        ""watching animals"",
        ""standing"",
        ""observing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Equus quagga"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.98
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""observing animals"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
33,1深圳市南山区深圳野生动物园__WeCh161239_4.jpg,family ride train,[],green grass; trees; fence; sky,riding miniature train; sitting together,[],[],riding miniature train,[],[],"[{""activity"": ""riding miniature train"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""family ride train"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""green grass"",
        ""trees"",
        ""fence"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""riding miniature train"",
        ""sitting together""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding miniature train"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
34,1深圳市南山区深圳野生动物园__WeCh161239_8.jpg,Child watching shark,Carcharhinus sp.,aquarium tank; mosaic tiles; water,observing marine life,[],Carcharhinus sp.,watching shark,[],"[{""scientific_name"": ""Carcharhinus sp."", ""count_estimate"": ""1"", ""confidence"": 0.85}]","[{""activity"": ""watching shark"", ""count_estimate"": ""1"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Child watching shark"",
      ""visible_species_in_image"": [
        ""Carcharhinus sp.""
      ],
      ""landscape_elements"": [
        ""aquarium tank"",
        ""mosaic tiles"",
        ""water""
      ],
      ""human_activities_in_image"": [
        ""observing marine life""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Carcharhinus sp."",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""watching shark"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
35,1深圳市南山区深圳野生动物园__YX1474_2.jpg,giraffe feeding child,Giraffa camelopardalis,zoo enclosure; trees; pathway,feeding giraffe; holding child; observing animals,[],Giraffa camelopardalis,feeding giraffe; holding child; observing animals,[],"[{""scientific_name"": ""Giraffa camelopardalis"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","[{""activity"": ""feeding giraffe"", ""count_estimate"": ""1"", ""confidence"": 0.98}, {""activity"": ""holding child"", ""count_estimate"": ""1"", ""confidence"": 0.97}, {""activity"": ""observing animals"", ""count_estimate"": ""2"", ""confidence"": 0.96}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""giraffe feeding child"",
      ""visible_species_in_image"": [
        ""Giraffa camelopardalis""
      ],
      ""landscape_elements"": [
        ""zoo enclosure"",
        ""trees"",
        ""pathway""
      ],
      ""human_activities_in_image"": [
        ""feeding giraffe"",
        ""holding child"",
        ""observing animals""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Giraffa camelopardalis"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""feeding giraffe"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""holding child"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.97
        },
        {
          ""activity"": ""observing animals"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.96
        }
      ]
    }
  ]
}",True,
36,1深圳市南山区深圳野生动物园_whyailiumin_1.jpg,crowded event,[],[],sitting; watching performance; taking selfie,[],[],sitting; watching performance; taking selfie,[],[],"[{""activity"": ""sitting"", ""count_estimate"": ""many"", ""confidence"": 0.95}, {""activity"": ""watching performance"", ""count_estimate"": ""many"", ""confidence"": 0.92}, {""activity"": ""taking selfie"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""crowded event"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [],
      ""human_activities_in_image"": [
        ""sitting"",
        ""watching performance"",
        ""taking selfie""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""watching performance"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.92
        },
        {
          ""activity"": ""taking selfie"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
37,1深圳市南山区深圳野生动物园_出差中_2.jpg,people riding horses,Equus ferus caballus,dirt track; fence; trees; sky,riding horses,[],Equus ferus caballus,riding horses,[],"[{""scientific_name"": ""Equus ferus caballus"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","[{""activity"": ""riding horses"", ""count_estimate"": ""3"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people riding horses"",
      ""visible_species_in_image"": [
        ""Equus ferus caballus""
      ],
      ""landscape_elements"": [
        ""dirt track"",
        ""fence"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""riding horses""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Equus ferus caballus"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding horses"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
38,1深圳市南山区深圳野生动物园_匿名用户30_6.jpg,child holding stick with parrot,Coracina novaehollandiae,paved path; fence; trees; lake; park,holding bird on stick; observing bird,[],Coracina novaehollandiae,holding bird on stick; observing bird,[],"[{""scientific_name"": ""Coracina novaehollandiae"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","[{""activity"": ""holding bird on stick"", ""count_estimate"": ""1"", ""confidence"": 0.98}, {""activity"": ""observing bird"", ""count_estimate"": ""1"", ""confidence"": 0.97}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child holding stick with parrot"",
      ""visible_species_in_image"": [
        ""Coracina novaehollandiae""
      ],
      ""landscape_elements"": [
        ""paved path"",
        ""fence"",
        ""trees"",
        ""lake"",
        ""park""
      ],
      ""human_activities_in_image"": [
        ""holding bird on stick"",
        ""observing bird""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Coracina novaehollandiae"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""holding bird on stick"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""observing bird"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.97
        }
      ]
    }
  ]
}",True,
39,20深圳市南山区南山公园_王小柱是真疯了_1.jpg,three people outdoors,[],trees; dirt slope,taking photo; standing together,[],[],taking photo,[],[],"[{""activity"": ""taking photo"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""three people outdoors"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""dirt slope""
      ],
      ""human_activities_in_image"": [
        ""taking photo"",
        ""standing together""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""taking photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
40,21深圳市南山区中山公园_Smad_3.jpg,people playing badminton,[],paved path; trees; park,playing badminton; standing; walking,unknown,[],playing badminton; standing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.65}]",[],"[{""activity"": ""playing badminton"", ""count_estimate"": ""4"", ""confidence"": 0.95}, {""activity"": ""standing"", ""count_estimate"": ""2"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people playing badminton"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved path"",
        ""trees"",
        ""park""
      ],
      ""human_activities_in_image"": [
        ""playing badminton"",
        ""standing"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""playing badminton"",
          ""count_estimate"": ""4"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
41,25深圳市罗湖区洪湖公园_小娃撑游艇_19.jpg,Birdwatchers with cameras,[],river; rocks; trees; fence,photography; birdwatching,[],[],photography,[],[],"[{""activity"": ""photography"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Birdwatchers with cameras"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""river"",
        ""rocks"",
        ""trees"",
        ""fence""
      ],
      ""human_activities_in_image"": [
        ""photography"",
        ""birdwatching""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""photography"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
42,27深圳市罗湖区广东梧桐山国家森林公园_噼里啪啦_10.jpg,Rainy mountain path,[],stone steps; wooden railing; lush forest; foggy mountainside,sitting on bench; holding umbrella,[],[],sitting under umbrella,[],[],"[{""activity"": ""sitting under umbrella"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Rainy mountain path"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone steps"",
        ""wooden railing"",
        ""lush forest"",
        ""foggy mountainside""
      ],
      ""human_activities_in_image"": [
        ""sitting on bench"",
        ""holding umbrella""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting under umbrella"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
43,27深圳市罗湖区广东梧桐山国家森林公园_红糖泡泡_7.jpg,Decorative hanging figures,[],trees; grass,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Decorative hanging figures"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""grass""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
44,27深圳市罗湖区广东梧桐山国家森林公园_起名字好难呦_8.jpg,Person in police station,[],[],standing; posing for photo,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Person in police station"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [],
      ""human_activities_in_image"": [
        ""standing"",
        ""posing for photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
45,28深圳市福田区深圳中心公园风景区_微微_1.jpg,hikers on mountain,[],mountain; grass; steps; lake; sky,sitting; photographing view,[],[],sitting; photographing view,[],[],"[{""activity"": ""sitting"", ""count_estimate"": ""3"", ""confidence"": 0.98}, {""activity"": ""photographing view"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""hikers on mountain"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountain"",
        ""grass"",
        ""steps"",
        ""lake"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""photographing view""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""photographing view"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
46,28深圳市福田区深圳中心公园风景区_精灵背包游侠_1.jpg,Selfie in a park,[],park; pond; trees; path,taking photo,[],[],selfie,[],[],"[{""activity"": ""selfie"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Selfie in a park"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""park"",
        ""pond"",
        ""trees"",
        ""path""
      ],
      ""human_activities_in_image"": [
        ""taking photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""selfie"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
47,29深圳市福田区深圳国际园林花卉博览园_LIUGE_3.jpg,Scream sculpture in park,[],wooden deck; trees; sky,walking; standing,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Scream sculpture in park"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""wooden deck"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
48,29深圳市福田区深圳国际园林花卉博览园_Vivian小丸子_6.jpg,woman in garden,Dracaena marginata,white wall; stone path; potted plant,posing for photo; standing,Dracaena marginata,[],posing,"[{""scientific_name"": ""Dracaena marginata"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],"[{""activity"": ""posing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman in garden"",
      ""visible_species_in_image"": [
        ""Dracaena marginata""
      ],
      ""landscape_elements"": [
        ""white wall"",
        ""stone path"",
        ""potted plant""
      ],
      ""human_activities_in_image"": [
        ""posing for photo"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Dracaena marginata"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
49,29深圳市福田区深圳国际园林花卉博览园_yuyanjia_4.jpg,Wall with portraits,[],wall; roof; light fixture,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Wall with portraits"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""wall"",
        ""roof"",
        ""light fixture""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
50,29深圳市福田区深圳国际园林花卉博览园_月亮姐姐_2.jpg,Woman on swing,[],sand; trees; swings,sitting on swing,[],[],sitting on swing,[],[],"[{""activity"": ""sitting on swing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Woman on swing"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""sand"",
        ""trees"",
        ""swings""
      ],
      ""human_activities_in_image"": [
        ""sitting on swing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting on swing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
51,2天津市蓟州区黄崖关长城_M40901_6.jpg,hiker on stairs,[],brick wall; stone steps,climbing stairs,[],[],climbing,[],[],"[{""activity"": ""climbing"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""hiker on stairs"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""brick wall"",
        ""stone steps""
      ],
      ""human_activities_in_image"": [
        ""climbing stairs""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""climbing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
52,2天津市蓟州区黄崖关长城_M6431_1.jpg,visitors on Great Wall,[],mountains; sky; Great Wall,walking; climbing stairs; touring,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""visitors on Great Wall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""Great Wall""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""climbing stairs"",
        ""touring""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
53,2天津市蓟州区黄崖关长城_M7263_3.jpg,person picking fruit,Malus domestica,orchard; trees; grass; sky,picking fruit; reaching up,Malus domestica,[],picking fruit,"[{""scientific_name"": ""Malus domestica"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""picking fruit"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""person picking fruit"",
      ""visible_species_in_image"": [
        ""Malus domestica""
      ],
      ""landscape_elements"": [
        ""orchard"",
        ""trees"",
        ""grass"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""picking fruit"",
        ""reaching up""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Malus domestica"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""picking fruit"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
54,2天津市蓟州区黄崖关长城_不要努力的人_1.jpg,woman on Great Wall,[],Great Wall; mountain; sky,standing; posing,unknown,[],standing; posing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.9}, {""activity"": ""posing"", ""count_estimate"": ""1"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman on Great Wall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""Great Wall"",
        ""mountain"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""posing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.9
        },
        {
          ""activity"": ""posing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
55,2天津市蓟州区黄崖关长城_开心大猫_1.jpg,statue and ancient wall,[],hill; ancient wall; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""statue and ancient wall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""hill"",
        ""ancient wall"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
56,2深圳市盐田区大梅沙海滨公园__ucwe199900_7.jpg,paddleboarding on beach,[],beach; water; mountains; building,paddling; sitting,[],[],paddling,[],[],"[{""activity"": ""paddling"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""paddleboarding on beach"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""water"",
        ""mountains"",
        ""building""
      ],
      ""human_activities_in_image"": [
        ""paddling"",
        ""sitting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""paddling"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
57,2深圳市盐田区大梅沙海滨公园_一米立子_6.jpg,couple walking on beach,[],beach; sand; sea; waves,walking; swimming; playing,[],[],walking; swimming,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 0.95}, {""activity"": ""swimming"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""couple walking on beach"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""sand"",
        ""sea"",
        ""waves""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""swimming"",
        ""playing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""swimming"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
58,2深圳市盐田区大梅沙海滨公园_人鱼小公主_9.jpg,woman at beach,[],ocean; waves; beach,playing in water,[],[],playing in water,[],[],"[{""activity"": ""playing in water"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman at beach"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""ocean"",
        ""waves"",
        ""beach""
      ],
      ""human_activities_in_image"": [
        ""playing in water""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""playing in water"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
59,31深圳市南山区燕晗山郊野公园_噼里啪啦_4.jpg,child playing stream,[],stream; bamboo forest; dirt path; rocks,playing; standing on rocks,[],[],standing on rocks,[],[],"[{""activity"": ""standing on rocks"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child playing stream"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""bamboo forest"",
        ""dirt path"",
        ""rocks""
      ],
      ""human_activities_in_image"": [
        ""playing"",
        ""standing on rocks""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing on rocks"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
60,33广东省深圳市翠竹公园_M12992_4.jpg,shooter at range,[],grass; barrier,aiming rifle,[],[],aiming rifle,[],[],"[{""activity"": ""aiming rifle"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""shooter at range"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""grass"",
        ""barrier""
      ],
      ""human_activities_in_image"": [
        ""aiming rifle""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""aiming rifle"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
61,33广东省深圳市翠竹公园_M12992_5.jpg,wooden statue in woods,[],trees; grass; dirt path,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""wooden statue in woods"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""grass"",
        ""dirt path""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
62,33广东省深圳市翠竹公园_caiyingwendy_1.jpg,child on swing,[],trees; artificial grass; pathway,swinging; taking photos,[],[],playing on swing; photographing,[],[],"[{""activity"": ""playing on swing"", ""count_estimate"": ""1"", ""confidence"": 0.98}, {""activity"": ""photographing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child on swing"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""artificial grass"",
        ""pathway""
      ],
      ""human_activities_in_image"": [
        ""swinging"",
        ""taking photos""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""playing on swing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""photographing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
