image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
79,1天津市蓟州区盘山_1331133_7.jpg,Temple by water with visitors,[],river; trees; stone wall; temple; pathway,standing; walking; taking photos,unknown,[],standing; walking; taking photos,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],"[{""activity"": ""standing"", ""count_estimate"": ""3"", ""confidence"": 1.0}, {""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 1.0}, {""activity"": ""taking photos"", ""count_estimate"": ""1"", ""confidence"": 1.0}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple by water with visitors"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""river"",
        ""trees"",
        ""stone wall"",
        ""temple"",
        ""pathway""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""walking"",
        ""taking photos""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""3"",
          ""confidence"": 1.0
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 1.0
        },
        {
          ""activity"": ""taking photos"",
          ""count_estimate"": ""1"",
          ""confidence"": 1.0
        }
      ]
    }
  ]
}",True,
80,1天津市蓟州区盘山_1331133_8.jpg,golden pagoda,Pinus tabulaeformis,tower; trees; rock face; stone base,[],Pinus tabulaeformis,[],[],"[{""scientific_name"": ""Pinus tabulaeformis"", ""count_estimate"": ""1"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""golden pagoda"",
      ""visible_species_in_image"": [
        ""Pinus tabulaeformis""
      ],
      ""landscape_elements"": [
        ""tower"",
        ""trees"",
        ""rock face"",
        ""stone base""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabulaeformis"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
81,1天津市蓟州区盘山_1331133_9.jpg,ancient stone pagoda,[],sky; tree,standing; visiting,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient stone pagoda"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""sky"",
        ""tree""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""visiting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
82,1天津市蓟州区盘山_1331988_1.jpg,Ancient stone tower,Pinus; Betula,stone tower; trees; sky,sitting on ledge,Pinus; Betula,[],sitting,"[{""scientific_name"": ""Pinus"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}, {""scientific_name"": ""Betula"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""2"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Ancient stone tower"",
      ""visible_species_in_image"": [
        ""Pinus"",
        ""Betula""
      ],
      ""landscape_elements"": [
        ""stone tower"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting on ledge""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        },
        {
          ""scientific_name"": ""Betula"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.90
        }
      ]
    }
  ]
}",True,
83,1天津市蓟州区盘山_1331988_2.jpg,Temple on hillside,[],temple; pathway; trees; mountain,walking,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple on hillside"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""temple"",
        ""pathway"",
        ""trees"",
        ""mountain""
      ],
      ""human_activities_in_image"": [
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
84,1天津市蓟州区盘山_1331988_3.jpg,Mountain temple,Pinus tabuliformis,rocky hill; temple; sky,visiting; standing,[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain temple"",
      ""visible_species_in_image"": [
        ""Pinus tabuliformis""
      ],
      ""landscape_elements"": [
        ""rocky hill"",
        ""temple"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""visiting"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
85,1天津市蓟州区盘山_1350212_1.jpg,Waterfall garden scene,Ficus verticillata; Cinnamomum camphora,waterfall; pond; rocks; trees; hillside,[],Ficus verticillata; Cinnamomum camphora,[],[],"[{""scientific_name"": ""Ficus verticillata"", ""count_estimate"": ""many"", ""confidence"": 0.85}, {""scientific_name"": ""Cinnamomum camphora"", ""count_estimate"": ""multiple"", ""confidence"": 0.72}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Waterfall garden scene"",
      ""visible_species_in_image"": [
        ""Ficus verticillata"",
        ""Cinnamomum camphora""
      ],
      ""landscape_elements"": [
        ""waterfall"",
        ""pond"",
        ""rocks"",
        ""trees"",
        ""hillside""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Ficus verticillata"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Cinnamomum camphora"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.72
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
86,1天津市蓟州区盘山_1350212_2.jpg,temple garden scene,Juniperus chinensis,stone path; hedges; mountain; tower; sky,[],Juniperus chinensis,[],[],"[{""scientific_name"": ""Juniperus chinensis"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""temple garden scene"",
      ""visible_species_in_image"": [
        ""Juniperus chinensis""
      ],
      ""landscape_elements"": [
        ""stone path"",
        ""hedges"",
        ""mountain"",
        ""tower"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Juniperus chinensis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
87,1天津市蓟州区盘山_1350212_3.jpg,Temple on rocky peak,Pinus tabulaeformis,rocky mountain; sky; temple structure,[],Pinus tabulaeformis,[],[],"[{""scientific_name"": ""Pinus tabulaeformis"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple on rocky peak"",
      ""visible_species_in_image"": [
        ""Pinus tabulaeformis""
      ],
      ""landscape_elements"": [
        ""rocky mountain"",
        ""sky"",
        ""temple structure""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabulaeformis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
88,1天津市蓟州区盘山_1350212_4.jpg,ancient stone tower,Pinus tabulaeformis,tower; mountains; sky; distant valley,[],Pinus tabulaeformis,[],[],"[{""scientific_name"": ""Pinus tabulaeformis"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient stone tower"",
      ""visible_species_in_image"": [
        ""Pinus tabulaeformis""
      ],
      ""landscape_elements"": [
        ""tower"",
        ""mountains"",
        ""sky"",
        ""distant valley""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabulaeformis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
89,1天津市蓟州区盘山_1354033_1.jpg,waterfall park scene,[],stream; rocky terrain; stone stairs; trees,walking; standing,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""waterfall park scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""rocky terrain"",
        ""stone stairs"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
90,1天津市蓟州区盘山_1354033_2.jpg,Waterfall scene with people,Salix babylonica,waterfall; rocky cliff; trees; paved path,walking; viewing waterfall,Salix babylonica,[],viewing waterfall,"[{""scientific_name"": ""Salix babylonica"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],"[{""activity"": ""viewing waterfall"", ""count_estimate"": ""4"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Waterfall scene with people"",
      ""visible_species_in_image"": [
        ""Salix babylonica""
      ],
      ""landscape_elements"": [
        ""waterfall"",
        ""rocky cliff"",
        ""trees"",
        ""paved path""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""viewing waterfall""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Salix babylonica"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""viewing waterfall"",
          ""count_estimate"": ""4"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
91,1天津市蓟州区盘山_1354033_3.jpg,Forest stream scene,Pinus massoniana,stream; rocks; forest; trees,sitting; resting; observing nature,Pinus massoniana,[],sitting; resting,"[{""scientific_name"": ""Pinus massoniana"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""4"", ""confidence"": 0.95}, {""activity"": ""resting"", ""count_estimate"": ""2"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Forest stream scene"",
      ""visible_species_in_image"": [
        ""Pinus massoniana""
      ],
      ""landscape_elements"": [
        ""stream"",
        ""rocks"",
        ""forest"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""resting"",
        ""observing nature""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus massoniana"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""4"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""resting"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.90
        }
      ]
    }
  ]
}",True,
92,1天津市蓟州区盘山_1354033_4.jpg,Forest stream scene,[],stream; rocks; bridge; forest; trees,walking; standing; viewing scenery,unknown,[],walking; standing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""5"", ""confidence"": 0.92}, {""activity"": ""standing"", ""count_estimate"": ""3"", ""confidence"": 0.88}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Forest stream scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""rocks"",
        ""bridge"",
        ""forest"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing"",
        ""viewing scenery""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""5"",
          ""confidence"": 0.92
        },
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.88
        }
      ]
    }
  ]
}",True,
93,1天津市蓟州区盘山_1354033_5.jpg,man at rock art,[],rock formation; trees,standing; posing for photo,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""man at rock art"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rock formation"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""posing for photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
94,1天津市蓟州区盘山_1354033_6.jpg,tourists at flower display,[],paved plaza; mountains; traditional building; flower bed,walking; standing; viewing flowers; taking photos,unknown,[],walking; standing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 1.0}, {""activity"": ""standing"", ""count_estimate"": ""multiple"", ""confidence"": 1.0}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""tourists at flower display"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved plaza"",
        ""mountains"",
        ""traditional building"",
        ""flower bed""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing"",
        ""viewing flowers"",
        ""taking photos""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 1.0
        },
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 1.0
        }
      ]
    }
  ]
}",True,
95,1天津市蓟州区盘山_1362392_1.jpg,Park view with trees,Pinus,trees; park; pathway; building; sky,walking; visiting,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Park view with trees"",
      ""visible_species_in_image"": [
        ""Pinus""
      ],
      ""landscape_elements"": [
        ""trees"",
        ""park"",
        ""pathway"",
        ""building"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""visiting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
96,1天津市蓟州区盘山_1362392_2.jpg,Tourists at stone wall,[],stone wall; railing; sky,standing; walking; taking photos,[],[],standing; walking,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}, {""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Tourists at stone wall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone wall"",
        ""railing"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""walking"",
        ""taking photos""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
97,1天津市蓟州区盘山_1362392_3.jpg,crowded tourist gate,[],paved path; steps; mountains; sky,walking; visiting,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""crowded tourist gate"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved path"",
        ""steps"",
        ""mountains"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""visiting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
98,1天津市蓟州区盘山_1362392_4.jpg,crowded mountain path,[],mountains; pathway; trees,walking; touring,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""many"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""crowded mountain path"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""pathway"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""touring""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
99,1天津市蓟州区盘山_1362392_5.jpg,crowded tourist site,[],mountains; paved plaza; flower beds; parking area,walking; taking photos; standing,unknown,[],tourism,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.65}]",[],"[{""activity"": ""tourism"", ""count_estimate"": ""many"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""crowded tourist site"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""paved plaza"",
        ""flower beds"",
        ""parking area""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""taking photos"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""tourism"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
100,1天津市蓟州区盘山_1374827_1.jpg,Temple plaza with crowd,[],mountains; sky; staircase; paved plaza; flower beds,walking; standing; visiting,unknown,[],walking,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.65}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple plaza with crowd"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""staircase"",
        ""paved plaza"",
        ""flower beds""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing"",
        ""visiting""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
101,1天津市蓟州区盘山_1374827_2.jpg,hiker on rocky path,[],rocky steps; forest; trees; dirt trail,walking; holding bag,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""hiker on rocky path"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rocky steps"",
        ""forest"",
        ""trees"",
        ""dirt trail""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""holding bag""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
102,1天津市蓟州区盘山_1374827_3.jpg,scenic map display,[],mountains; signboard,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""scenic map display"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""signboard""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
103,1天津市蓟州区盘山_1381718_1.jpg,ancient town riverside,[],river; mountains; traditional buildings; trees,walking,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""multiple"", ""confidence"": 0.75}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient town riverside"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""river"",
        ""mountains"",
        ""traditional buildings"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.75
        }
      ]
    }
  ]
}",True,
104,1天津市蓟州区盘山_1381718_2.jpg,ancient stone tower,[],sky; trees; stone structure,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient stone tower"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""sky"",
        ""trees"",
        ""stone structure""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
105,1天津市蓟州区盘山_1381718_3.jpg,Pine tree and lake,Pinus tabuliformis,hill; lake; paved path; rock formation; sky,standing; sitting on boat,Pinus tabuliformis,[],standing; sitting,"[{""scientific_name"": ""Pinus tabuliformis"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],"[{""activity"": ""standing"", ""count_estimate"": ""2"", ""confidence"": 0.95}, {""activity"": ""sitting"", ""count_estimate"": ""multiple"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Pine tree and lake"",
      ""visible_species_in_image"": [
        ""Pinus tabuliformis""
      ],
      ""landscape_elements"": [
        ""hill"",
        ""lake"",
        ""paved path"",
        ""rock formation"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""sitting on boat""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabuliformis"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.90
        }
      ]
    }
  ]
}",True,
106,1天津市蓟州区盘山_1381718_4.jpg,traditional water town,[],river; stone bridge; ancient buildings; tree branches; sky,tourists walking; boat tour,Prunus mume,[],walking along riverbank; boat ride,"[{""scientific_name"": ""Prunus mume"", ""count_estimate"": ""many"", ""confidence"": 0.75}]",[],"[{""activity"": ""walking along riverbank"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}, {""activity"": ""boat ride"", ""count_estimate"": ""1"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""traditional water town"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""river"",
        ""stone bridge"",
        ""ancient buildings"",
        ""tree branches"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""tourists walking"",
        ""boat tour""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Prunus mume"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking along riverbank"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        },
        {
          ""activity"": ""boat ride"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
107,1天津市蓟州区盘山_1381718_5.jpg,Canal tour scene,[],canal; stone buildings; trees; sky; mountains,sitting; boating; walking,unknown shrub,[],sitting; boating; walking,"[{""scientific_name"": ""unknown shrub"", ""count_estimate"": ""1"", ""confidence"": 0.45}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""2"", ""confidence"": 0.95}, {""activity"": ""boating"", ""count_estimate"": ""2"", ""confidence"": 0.98}, {""activity"": ""walking"", ""count_estimate"": ""3"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Canal tour scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""canal"",
        ""stone buildings"",
        ""trees"",
        ""sky"",
        ""mountains""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""boating"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown shrub"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.45
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""boating"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
108,1天津市蓟州区盘山_1381718_6.jpg,traditional canal house,Salix,canal; brick building; willow trees; sky,sitting,Salix,[],sitting,"[{""scientific_name"": ""Salix"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""2"", ""confidence"": 0.7}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""traditional canal house"",
      ""visible_species_in_image"": [
        ""Salix""
      ],
      ""landscape_elements"": [
        ""canal"",
        ""brick building"",
        ""willow trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Salix"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.7
        }
      ]
    }
  ]
}",True,
